"","domain_name","sequence_evalue"
"212","HISEQ01:561:D1DRUACXX:7:1202:19459:149488_1",1.6e-17
"213","HISEQ01:561:D1DRUACXX:7:1105:3224:186341_1",1.6e-17
"214","HISEQ01:561:D1DRUACXX:7:1102:11786:142220_1",1.7e-17
"215","HISEQ01:561:D1DRUACXX:7:1106:16498:48839_1",1.8e-17
"216","HISEQ01:561:D1DRUACXX:7:1207:9251:32702_1",1.9e-17
"217","HISEQ01:561:D1DRUACXX:7:1205:17248:27501_1",1.9e-17
"218","HISEQ01:561:D1DRUACXX:7:1206:1487:26747_1",1.9e-17
"219","HISEQ01:561:D1DRUACXX:7:1206:20266:186098_1",2e-17
"220","HISEQ01:561:D1DRUACXX:7:1206:10405:108056_1",2.1e-17
"221","HISEQ01:561:D1DRUACXX:7:1104:6086:26481_1",2.1e-17
"222","HISEQ01:561:D1DRUACXX:7:1105:3481:97701_1",2.1e-17
"223","HISEQ01:561:D1DRUACXX:7:1102:19971:90937_1",2.1e-17
"224","HISEQ01:561:D1DRUACXX:7:1101:17169:63222_1",2.1e-17
"225","HISEQ01:561:D1DRUACXX:7:1203:16784:46599_1",2.1e-17
"226","HISEQ01:561:D1DRUACXX:7:1105:11670:157464_1",2.2e-17
"227","HISEQ01:561:D1DRUACXX:7:1106:5503:186212_1",2.2e-17
"228","HISEQ01:561:D1DRUACXX:7:1102:5884:92384_1",2.3e-17
"229","HISEQ01:561:D1DRUACXX:7:1203:8265:7070_1",2.3e-17
"230","HISEQ01:561:D1DRUACXX:7:1206:17955:87782_1",2.4e-17
"231","HISEQ01:561:D1DRUACXX:7:1104:1063:2873_1",2.4e-17
"232","HISEQ01:561:D1DRUACXX:7:1201:13045:166989_1",2.4e-17
"233","HISEQ01:561:D1DRUACXX:7:1203:1336:129158_1",2.5e-17
"234","HISEQ01:561:D1DRUACXX:7:1107:2773:184918_1",2.5e-17
"235","HISEQ01:561:D1DRUACXX:7:1206:7741:148624_1",2.5e-17
"236","HISEQ01:561:D1DRUACXX:7:1103:19706:78682_1",2.5e-17
"237","HISEQ01:561:D1DRUACXX:7:1205:1192:125903_1",2.5e-17
"238","HISEQ01:561:D1DRUACXX:7:1108:4079:28913_1",2.6e-17
"239","HISEQ01:561:D1DRUACXX:7:1107:8550:192423_1",2.7e-17
"240","HISEQ01:561:D1DRUACXX:7:1206:2624:133919_1",2.9e-17
"241","HISEQ01:561:D1DRUACXX:7:1201:12129:55801_1",3.2e-17
"242","HISEQ01:561:D1DRUACXX:7:1202:5412:69074_1",3.2e-17
"243","HISEQ01:561:D1DRUACXX:7:1105:7199:132616_1",3.3e-17
"244","HISEQ01:561:D1DRUACXX:7:1204:16991:65628_1",3.5e-17
"245","HISEQ01:561:D1DRUACXX:7:1205:11045:92301_1",3.6e-17
"246","HISEQ01:561:D1DRUACXX:7:1106:9081:90757_1",3.7e-17
"247","HISEQ01:561:D1DRUACXX:7:1107:14329:21931_1",3.7e-17
"248","HISEQ01:561:D1DRUACXX:7:1105:18220:109226_1",3.7e-17
"249","HISEQ01:561:D1DRUACXX:7:1101:10272:84685_1",3.8e-17
"250","HISEQ01:561:D1DRUACXX:7:1205:17371:91208_1",3.8e-17
"251","HISEQ01:561:D1DRUACXX:7:1108:4780:61903_1",3.8e-17
"252","HISEQ01:561:D1DRUACXX:7:1201:17217:18297_1",3.8e-17
"253","HISEQ01:561:D1DRUACXX:7:1107:3839:194981_1",3.9e-17
"254","HISEQ01:561:D1DRUACXX:7:1205:12242:158523_1",4e-17
"255","HISEQ01:561:D1DRUACXX:7:1107:2780:81164_1",4.1e-17
"256","HISEQ01:561:D1DRUACXX:7:1206:13806:20567_1",4.1e-17
"257","HISEQ01:561:D1DRUACXX:7:1205:3241:149989_1",4.1e-17
"258","HISEQ01:561:D1DRUACXX:7:1205:3646:60878_1",4.1e-17
"259","HISEQ01:561:D1DRUACXX:7:1206:15715:197492_1",4.2e-17
"260","HISEQ01:561:D1DRUACXX:7:1204:5416:104910_1",4.4e-17
"261","HISEQ01:561:D1DRUACXX:7:1107:14637:178201_1",4.5e-17
"262","HISEQ01:561:D1DRUACXX:7:1207:4471:28215_1",4.6e-17
"263","HISEQ01:561:D1DRUACXX:7:1202:7770:16044_1",4.8e-17
"264","HISEQ01:561:D1DRUACXX:7:1203:1747:31360_1",4.9e-17
"265","HISEQ01:561:D1DRUACXX:7:1105:7550:66327_1",5e-17
"266","HISEQ01:561:D1DRUACXX:7:1204:3168:161238_1",5.1e-17
"267","HISEQ01:561:D1DRUACXX:7:1201:12478:2090_1",5.3e-17
