"","domain_name","sequence_evalue"
"130","HISEQ01:561:D1DRUACXX:7:1105:10171:61789_1",1.6e-11
"131","HISEQ01:561:D1DRUACXX:7:1203:11068:65847_1",1.6e-11
"132","HISEQ01:561:D1DRUACXX:7:1204:15556:145502_1",1.6e-11
"133","HISEQ01:561:D1DRUACXX:7:1204:9826:65640_1",1.6e-11
"134","HISEQ01:561:D1DRUACXX:7:1101:3318:154053_1",1.7e-11
"135","HISEQ01:561:D1DRUACXX:7:1203:12663:43112_1",1.8e-11
"136","HISEQ01:561:D1DRUACXX:7:1203:9788:121579_1",1.8e-11
"137","HISEQ01:561:D1DRUACXX:7:1106:10564:126105_1",1.8e-11
"138","HISEQ01:561:D1DRUACXX:7:1108:12176:20211_1",1.8e-11
"139","HISEQ01:561:D1DRUACXX:7:1102:2178:180056_1",2e-11
"140","HISEQ01:561:D1DRUACXX:7:1201:7433:36315_1",2.3e-11
"141","HISEQ01:561:D1DRUACXX:7:1103:7072:29315_1",2.4e-11
"142","HISEQ01:561:D1DRUACXX:7:1104:4368:2215_1",2.5e-11
"143","HISEQ01:561:D1DRUACXX:7:1101:20339:130811_1",2.5e-11
"144","HISEQ01:561:D1DRUACXX:7:1104:17316:145205_1",2.6e-11
"145","HISEQ01:561:D1DRUACXX:7:1107:2111:81800_1",2.6e-11
"146","HISEQ01:561:D1DRUACXX:7:1202:11074:43236_1",2.7e-11
"147","HISEQ01:561:D1DRUACXX:7:1105:2404:156944_1",2.8e-11
"148","HISEQ01:561:D1DRUACXX:7:1205:4440:126215_1",3e-11
"149","HISEQ01:561:D1DRUACXX:7:1205:13279:37574_1",3e-11
"150","HISEQ01:561:D1DRUACXX:7:1205:17333:176222_1",3.1e-11
"151","HISEQ01:561:D1DRUACXX:7:1205:5468:100916_1",3.1e-11
"152","HISEQ01:561:D1DRUACXX:7:1206:9588:82078_1",3.3e-11
"153","HISEQ01:561:D1DRUACXX:7:1203:9788:121579_1",3.4e-11
"154","HISEQ01:561:D1DRUACXX:7:1107:9453:36657_1",3.5e-11
"155","HISEQ01:561:D1DRUACXX:7:1204:2921:76028_1",3.6e-11
"156","HISEQ01:561:D1DRUACXX:7:1204:3764:54793_1",3.6e-11
"157","HISEQ01:561:D1DRUACXX:7:1205:19220:61257_1",3.7e-11
"158","HISEQ01:561:D1DRUACXX:7:1108:7061:59794_1",4.3e-11
"159","HISEQ01:561:D1DRUACXX:7:1203:18351:123873_1",4.4e-11
"160","HISEQ01:561:D1DRUACXX:7:1206:10066:32667_1",4.7e-11
"161","HISEQ01:561:D1DRUACXX:7:1206:4047:11848_1",4.7e-11
"162","HISEQ01:561:D1DRUACXX:7:1206:4047:11848_1",4.8e-11
"163","HISEQ01:561:D1DRUACXX:7:1105:5808:87888_1",4.8e-11
"164","HISEQ01:561:D1DRUACXX:7:1201:6458:185153_1",5.1e-11
"165","HISEQ01:561:D1DRUACXX:7:1205:9768:175711_1",5.3e-11
"166","HISEQ01:561:D1DRUACXX:7:1105:18098:120412_1",5.3e-11
"167","HISEQ01:561:D1DRUACXX:7:1104:18194:142039_1",5.8e-11
"168","HISEQ01:561:D1DRUACXX:7:1205:10309:3743_1",6.2e-11
"169","HISEQ01:561:D1DRUACXX:7:1202:14666:25638_1",6.3e-11
"170","HISEQ01:561:D1DRUACXX:7:1204:20410:109260_1",6.5e-11
"171","HISEQ01:561:D1DRUACXX:7:1106:3994:19812_1",6.5e-11
"172","HISEQ01:561:D1DRUACXX:7:1207:9394:38158_1",6.9e-11
"173","HISEQ01:561:D1DRUACXX:7:1103:14773:172562_1",7.3e-11
"174","HISEQ01:561:D1DRUACXX:7:1205:11945:92739_1",7.6e-11
"175","HISEQ01:561:D1DRUACXX:7:1207:7255:24745_1",7.7e-11
"176","HISEQ01:561:D1DRUACXX:7:1203:4909:6233_1",8.3e-11
"177","HISEQ01:561:D1DRUACXX:7:1205:15574:2752_1",8.4e-11
"178","HISEQ01:561:D1DRUACXX:7:1102:10833:165219_1",9.4e-11
"179","HISEQ01:561:D1DRUACXX:7:1204:10492:77916_1",9.4e-11
"180","HISEQ01:561:D1DRUACXX:7:1205:13549:184074_1",9.5e-11
"181","HISEQ01:561:D1DRUACXX:7:1105:9836:94856_1",9.8e-11
