"","domain_name","sequence_evalue"
"195","NS500302:312:HJHHTBGX5:4:22512:5997:18289_1:883657",7.2e-17
"196","NS500302:312:HJHHTBGX5:1:12312:18623:17331_1:79817",7.5e-17
"197","NS500302:312:HJHHTBGX5:1:23107:5085:2946_1:208030",7.5e-17
"198","NS500302:312:HJHHTBGX5:2:11304:16407:18753_1:272694",7.5e-17
"199","NS500302:312:HJHHTBGX5:2:13112:16657:16553_1:334939",7.5e-17
"200","NS500302:312:HJHHTBGX5:2:21305:5620:12006_1:395403",7.5e-17
"201","NS500302:312:HJHHTBGX5:2:23202:5284:7846_1:458035",7.5e-17
"202","NS500302:312:HJHHTBGX5:3:21602:16682:16822_1:618383",7.5e-17
"203","NS500302:312:HJHHTBGX5:4:11406:22904:7171_1:708099",7.5e-17
"204","NS500302:312:HJHHTBGX5:4:11408:11070:11044_1:710534",7.5e-17
"205","NS500302:312:HJHHTBGX5:4:13406:14059:9485_1:785790",7.5e-17
"206","NS500302:312:HJHHTBGX5:4:13410:2256:14367_1:790586",7.5e-17
"207","NS500302:312:HJHHTBGX5:3:12606:1539:5971_1:549694",7.6e-17
"208","NS500302:312:HJHHTBGX5:3:21607:24251:15419_1:623402",8.8e-17
"209","NS500302:312:HJHHTBGX5:1:13107:8281:10893_1:87736",8.8e-17
"210","NS500302:312:HJHHTBGX5:1:13206:23502:13990_1:100367",8.8e-17
"211","NS500302:312:HJHHTBGX5:1:22202:23174:6231_1:176054",8.8e-17
"212","NS500302:312:HJHHTBGX5:2:23209:1580:18845_1:466564",8.8e-17
"213","NS500302:312:HJHHTBGX5:2:23308:25267:18640_1:478895",8.8e-17
"214","NS500302:312:HJHHTBGX5:3:11404:22374:8238_1:487300",8.8e-17
"215","NS500302:312:HJHHTBGX5:3:12604:7614:9469_1:547873",8.8e-17
"216","NS500302:312:HJHHTBGX5:4:11512:7850:12969_1:728469",8.8e-17
"217","NS500302:312:HJHHTBGX5:1:12311:18867:4588_1:77998",1e-16
"218","NS500302:312:HJHHTBGX5:2:22109:12087:12697_1:413231",1e-16
"219","NS500302:312:HJHHTBGX5:4:23609:5672:5021_1:931483",1e-16
"220","NS500302:312:HJHHTBGX5:1:13112:1822:10810_1:93516",1e-16
"221","NS500302:312:HJHHTBGX5:2:13110:14986:7300_1:332180",1e-16
"222","NS500302:312:HJHHTBGX5:2:22107:24753:20078_1:411487",1e-16
"223","NS500302:312:HJHHTBGX5:3:21410:8517:19438_1:602135",1e-16
"224","NS500302:312:HJHHTBGX5:3:22509:18030:7892_1:649510",1e-16
"225","NS500302:312:HJHHTBGX5:3:23512:17206:18923_1:690258",1e-16
"226","NS500302:312:HJHHTBGX5:4:13501:14319:15614_1:794206",1e-16
"227","NS500302:312:HJHHTBGX5:4:21606:16065:8353_1:850304",1.1e-16
"228","NS500302:312:HJHHTBGX5:1:11308:25223:4347_1:34616",1.3e-16
"229","NS500302:312:HJHHTBGX5:1:22206:9747:9726_1:180830",1.6e-16
"230","NS500302:312:HJHHTBGX5:2:23106:9218:17000_1:449710",1.6e-16
"231","NS500302:312:HJHHTBGX5:3:22508:23847:9679_1:648591",1.6e-16
"232","NS500302:312:HJHHTBGX5:1:22301:9674:5783_1:188486",1.6e-16
"233","NS500302:312:HJHHTBGX5:2:11311:1765:18456_1:280447",1.6e-16
"234","NS500302:312:HJHHTBGX5:2:13207:4111:19643_1:342722",1.6e-16
"235","NS500302:312:HJHHTBGX5:2:22112:6289:11630_1:416501",1.6e-16
